ID,User Story,Requirements,Manual Scenario,domain
1,"As a user, I want to enable image tagging from the Asset Intelligence section in the MCP settings","1. A new MCP setting is to be created under the Asset Intelligence section for Image Tagging (Azure). We may try any tie some of the existing Imagga settings later but for now we’ll keep seperate. 
2. Under Enable Video / Audio Tagging: there needs to be a new setting called Enable Image Tagging 
3. All Image Tagging Capabilities and categories will be dependant on this setting 
4. If this setting is enabled, then the platform should ignore any Imagga functionality and use Azure only
5. Underneath the setting Azure Video Processing Limit (per billing cycle):  there needs to be a new setting called Azure Image Processing Limit (Images) (per billing cycle):
6. While we’re here, change  Azure Video Processing Limit (per billing cycle): to  Azure Video Processing Limit (minutes) (per billing cycle):
7. Any Azure functionality and tickets worked on in this project should be tied to the Enable Image Tagging setting","Scenario:  Verify the MCP setting
Given I am an admin 
When I go to MCP setting
Then I can see a new MCP setting called ""Enable Image Tagging:"" is available under Asset Intelligence section -> Enable video / Audio Tagging
And I can see a new setting under asset intelligence as ""Azure Image Processing Limit (Images) (per billing cycle):""
And I can see Azure Video Processing Limit (per billing cycle): is changed to Azure Video Processing Limit (minutes) (per billing cycle):",Digital Asset Management
2,"As an IB team member, I want to be able to enable an Auto-Focal setting in MCP so that I can control all the settings from one place.","1. We need an MCP feature flag/setting called “Resources - Preset Auto-Focal” in the Development Use Only area. If this setting is enabled then any Auto-focal tickets as part of this project become enabled, if disabled then no Auto-focal settings should be available on the platform.
2. A setting called “Resources - Preset Auto-Focal” must be created in the Development Use only area of the MCP. 
3. The setting must be a toggle switch that can be enabled and disabled as needed. 
4. When enabled, any Auto-focal tickets as part of this project must become enabled. 
5. When disabled, no Auto-focal settings should be available on the platform. 
","Scenario: Verify Focal point related MCP setting availability
  Given I am an admin or a participant who is in the platform setting tab on MCP
  When I check for “Resources - Preset Auto-Focal”
  Then I can see this setting under development only area
  When I try to enable/ disable the setting
  Then I can click and unclick",Digital Asset Management
3,"As an IB team member, I want to be able to enable a GIF/Lottie setting in MCP so that I can control all the settings from one place","1. We need an MCP feature flag/setting called “Resources - GIF/Lottie Preview Support” in the Development Use Only area. If this setting is enabled then any tickets as part of this project become enabled, if disabled then no GIF/Lottie preview features should be available on the platform.
2. Lottie general file support can be independent if needed 
3. A setting called “Resources - GIF/Lottie Preview Support” should be created in the Development Use only area of the MCP. 
4. The setting must be a toggle switch that can be enabled and disabled as needed. 
5. When enabled, any GIF/Lottie Preview tickets as part of this project must become enabled. 
6. When disabled, no GIF/Lottie Preview settings should be available on the platform.
","Scenario: Verify GIF/Lottie Preview Support related MCP setting availability
  Given I am an admin or a participant who is in the platform setting tab on MCP
  When I check for GIF/Lottie Preview Support 
  Then I can see this setting under development only area
  When I try to enable/ disable the setting
  Then I can click and unclick",Digital Asset Management
4,"As a user, I want to be able to upload a GIF and have it automatically converted into a MP4 file so that I can view it in the previewer.","1. GIFs uploaded to the platform should be converted to MP4s so that they can be viewed in the previewer. 
2. We need to convert uploaded GIFs to MP4s, which can then be viewed in the previewer. 
3. When a user uploads a GIF, the GIF should be converted into an MP4 using the library recommended 
4. The conversion should be done with the highest quality available, to ensure that the resulting MP4s have the same quality as the original GIFs.
5. The MP4 needs to be stored along side the original GIF as we may use the MP4 in other places like Approvals","Scenario: Verify the preview of the uploaded GIF file
  Given I am an Admin 
  When I upload GIF file
  And I preview the GIF file
  Then I able to see it as a MP4
  And I can see the same quality is there for MP4 like the original file",Digital Asset Management
5,"As a user, I want to be able to upload a Lottie File and have it automatically converted into a MP4 file so that I can view it in the previewer.","1. Lottie Files uploaded to the platform should be converted to MP4s so that they can be viewed in the previewer. 
2. We need to convert uploaded Lottie to MP4s, which can then be viewed in the previewer.
3. When a user uploads a Lottie File, the Lottie should be converted into an MP4 using the library recommended: https://intelligencebank.atlassian.net/browse/IB-36794 
4. The conversion should be done with the highest quality available, to ensure that the resulting MP4s have the same quality as the original Lottie Files.
5. The MP4 needs to be stored along side the original Lottie as we will use the MP4 in other places like Approvals","Scenario: Verify the preview of the uploaded Lottie file
  Given I am an admin 
  When I upload Lottie file
  And I preview the Lottie file
  Then I am able to see it as a MP4
  And I can see the same quality is there for MP4 like the original file",Digital Asset Management
6,"As a user, I want to be select a Preset that has auto-focal enabled, on multiple images from the Bulk Download Screen, so that the cropping can occur on the focal point of the image.","1. When a user downloads images with presets applied through bulk download, some Presets may have Auto-focal enabled. If a Preset is selected that has Auto-focal enabled, the system should automatically detect the focal point of each image and crop accordingly with the crop being centered on the focal point.
2. If a user is in the Bulk Download screen and has selected a Global Preset (from the transformation page) that has Auto-focal enabled, then when downloading the images:
3. The download should proceed as normal
4. The system should detect the focal point of each image as per this eng ticket: https://intelligencebank.atlassian.net/browse/IB-36982 
5. The crop area should be centered on the focal point.
6. If the crop area overhangs the dimensions of the image then it needs to be centered as close as possible to the focal point but also needs to be kept 
7. The processed image (with any crop centered on the focal point) should download in the Zip like normal with any other resources selected for Bulk Download ","Scenario: Verify auto focal option availability on Bulk Download
  Given I am an admin 
  When I navigate to the resource page
  And I select a couple of images
  And I select Download from bulk action dropdown
  And select a preset where focal point is available
  And download the files
  Then I can see the download is working fine in as normal way
  And The system should detect the focal point of each image
  And The crop area should be centred on the focal point.
  When the crop area overhangs the dimensions of the image 
  Then it needs to be centered as close as possible to the focal point but also needs to be kept 
  And The processed image (with any crop centred on the focal point) should download in the Zip like normal with any other resources selected for Bulk Download ",Digital Asset Management
7,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Info Preview screen so that I can preview what the animation is like before I download it","1. The Info Preview Screen should include a converted MP4 from either the GIF or Lottie file. This MP4 should auto-play, have the video controls hidden and be on a loop.
2. When a user is on the Info Preview page and the file type is a GIF or Lottie, then:
3. The Previewer should be displaying the converted GIF or Lottie file MP4 
4. All other components and actions on the Info Preview screen should remain the same as if it was a GIF or Lottie file.
5. Download should download the GIF or Lottie file
6. File type metadata fields and the like should show GIF/Lottie
7. Version file type should be GIF/Lottie","Scenario: Verify the preview page of the uploaded GIF and Lottie file
  Given I am an admin 
  When I upload Lottie and GIF file
  And I preview the Lottie file
  Then Previewer should display the converted GIF or Lottie file MP4
  And Download should download the GIF or Lottie file with the same extension
  And The file type of metadata fields should be GIF/Lottie
  And The Version file type should be GIF/Lottie
  And The video controls should not appear 
  And The slider should not appear 
  And The video should loop continuously
  And The video should autoplay 
  And The left and right keyboard arrows should not interact with the video",Digital Asset Management
8,"As a user, I want GIF/Lottie file to have the first frame as the Thumbnail Preview (PNG)","1. GIF and Lottie files should have a static image as their thumbnail. 
2. GIF and Lottie files should have a static png image as their thumbnail icon. This appears in the following locations
Resource List View 
Resource Mosaic View 
Versions
Alias
Similar 
Dashboard List 
Approvals List
Collections ","Scenario: Verify the Thumbnail view of GIF and Lottie file
  Given I am an admin 
  When I upload Lottie and the GIF file
  And I check the thumbnail of the file on the following pages 
    Resource List View 
    Resource Mosaic View 
    Versions
    Alias
    Similar 
    Dashboard List 
    Approvals List
    Collections
  Then I can see that the Thumbnail is static ",Digital Asset Management
9,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Share screen so that I can preview what the animation is like before share it","1. Users should see the preview of the GIF or Lottie File converted MP4 on the Share screen. This should help users to preview the animation before deciding to share it.
2. As a user on the share/embed screen:
3. The preview should show the GIF or Lottie File converted MP4.
4. The controls should be hidden
5. The MP4 should autoplay ","Scenario: Verify the GIF and Lottie file preview on the share screen
  Given I am an admin 
  When I upload Lottie and GIF file
  And I click on share 
  Then The file should have converted to MP4
  And The controls should be hidden
  And The MP4 should autoplay",Digital Asset Management
10,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Edit screen so that I can preview what the animation like before I Edit or upload a new version","1. Users should see the preview of the GIF or Lottie File converted MP4 on the Edit/New Version screen. This should help users to preview the animation while editing
2. As a user on the Edit/New Version screen
3. The preview should show the GIF or Lottie File converted MP4.
4. Edit uses PDFTron 
5. The controls should be hidden
6. The MP4 should autoplay","Scenario: Verify the GIF and Lottie file preview on the Review Request screen screen
  Given I am an admin 
  When I upload Lottie and GIF file
  And navigate to the workflow page
  And I click on Review Request 
  Then The file should have been converted to MP4
  And The controls should be hidden
  And The MP4 should autoplay",Digital Asset Management
11,"As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Review Request screen in Approvals so that I can preview what the animation is when approving","1. Users should see the preview of the GIF or Lottie File converted MP4 on the Review Request Tab of the Approvals Screen. This should help users to preview the animation while approving
2. As a user on the Review Request Tab
3. The preview should show the GIF or Lottie File converted MP4.
4. Approvals uses PDFTron
5. The controls should be hidden
6. The MP4 should autoplay","Scenario: Verify the GIF and Lottie file preview on the edit screen
  Given I am an admin 
  When I upload Lottie and GIF file
  And I click on edit/new version 
  Then The file should have converted to MP4
  And The controls should be hidden
  And The MP4 should autoplay",Digital Asset Management
