ID,domain,User Story,Manual Scenario
385,Marketing Operations Platform,"PB - As a User, I want to re-order pages within the same parent/root via Nav - FE UI component","Scenario: Reordering Pages and Sub-Pages via Drag-and-Drop in Navigation Panel
Given a user is in editing mode within the Page Builder
When the user drags a page that contains sub-pages to a new position in the Navigation Panel
Then the page, along with all its sub-pages, should move together to the new position
And after the move, the sub-pages should be collapsed under the parent page in the Navigation Panel
And the updated page order and hierarchy should be saved and persist across editing and viewing modes until changed again by the user"
210,Brand Management,"PB - As a User, I want to see a new landing page","Scenario: User views a new landing page with empty Sections  
    Given the user is in Page Builder  
    When the user creates a new landing page  
    Then the page should display empty Sections  
    And there should be no Blocks inside the Sections  "
335,Marketing Operations Platform,"PB - As a User, I want to create a Drag & Drop Page (as a standalone Page) from Nav","Scenario: Creating a Drag & Drop Page from Navigation in Page Builder
Given the user is in the Page Builder under ‘All Pages’ or a specific Page Category
When they want to create a Drag & Drop Page
Then they should see the creation button at the bottom of the Nav Panel
And Given the user clicks the creation button
Then they should be able to start creating a Drag & Drop Page
And Given the user is interacting with a standalone or parent page
When they click the kebab menu icon (⋮) and select the ‘Page’ action
Then they should also be able to create a Drag & Drop Page"
208,Brand Management,"PB - As a User, I want to only select & see the combo of Widget and Block (bounding box experience) in Page Builder","Scenario: User selects a Widget and Block as a whole in Page Builder
    Given the user is in Create/Edit mode in Page Builder
    And the user has added a Widget inside a Block
    When the user selects the Widget
    Then the entire bounding box of the Widget and Block should be highlighted
    And the selection experience should match the previous Block bounding box behavior
    And the user should only be able to navigate up to the Section"
254,Brand Management,"As a User, I want to access Reply action for New Replies in Daily Digest Email","Scenario: User can access and reply to new comments from the Daily Digest Email  
    Given the user receives a Daily Digest Email with new replies  
    When the user clicks on the ""Reply"" action as per the design  
    Then the user should be redirected to the Reply page in a new tab  
    And the applicable comment should be highlighted and ready to reply to  
    And the text box should be active and ready for the user to type a response"
238,Brand Management,As a user I want to see 'Bulk Review' in bulk review page header (page name),"Scenario: Show correct page name in Bulk Review header  
    Given the user navigates to the Bulk Review page  
    When the page loads  
    Then the page header should display the title ""Bulk Review""  "
13,Digital Asset Management,"As a user, I want to be able to see the GIF or Lottie File converted MP4 on the Markup Screen in Approvals so that I can markup the animation to get feedback and new revisions worked on","Scenario:  Verify the GIF and Lottie file preview on Version/Revision screen
  Given I am an admin 
  When I upload Lottie and GIF file
  And navigate to the Version/Revision screen
  Then The file should have been converted to MP4
  And The controls should be hidden
  And The MP4 should autoplay"
353,Marketing Operations Platform,"PB - As a User, I want to see a new landing page","Scenario: Viewing Empty Sections Without Blocks
Given the user is in Page Builder
And the Page is in Create or Edit mode
When the user adds a new Section
Then the Section should be visible as an empty container
And it should not contain any Blocks by default
And the user should have the option to drag Widgets into the empty Section"
136,Digital Asset Management,"As a User, I want to open current location for single / same folder Move","Scenario: Loading the Correct Folder Location in V3 Folder Tree When Moving Resources
Given the user is moving a resource
When the user moves a single resource
Then the current location should be loaded as opened in the V3 folder tree branch
And if the user lacks permission to items earlier in that tree, the top-level view should open instead
When the user performs a bulk move of resources from the same folder
Then the current location should be loaded as opened in the V3 folder tree branch"
109,Digital Asset Management,"As an Internal User, I want to have MCP(development use only) settings to enable/disable features per Epic for Drag & Drop Page MVP ","Scenario: Internal User configures MCP settings for Drag & Drop Page features  
    Given the user is in the Development Use section of MCP settings  
    When the user views the Platform Settings  
    Then the following MCP settings should be available under ""Development Use only"" for the Drag & Drop Page MVP:  
      | Setting Name                                       | Description                                  |  
      | ""Drag & Drop Pages: Widgets combining Block""       | Enables/Disables widgets combining block feature |  
      | ""Drag & Drop Pages: Image Resizing""                 | Enables/Disables image resizing feature         |  
      | ""Drag & Drop Pages: Page Templates""                 | Enables/Disables page templates feature         |  
      | ""Drag & Drop Pages - Page Category""                 | Enables/Disables page category feature          |  

    When the user enables or disables any of the above settings  
    Then the relevant features should be activated or deactivated based on the settings chosen  
"
