"id","domain","text","llm_output","response_id","status","cumulative_cost_usd"
"385","Marketing Operations Platform","PB - As a User, I want to re-order pages within the same parent/root via Nav - FE UI component","Scenario: Reordering Pages Within the Same Parent or Root  
Given pages exist within the same parent or root  
When the user re-orders a page within the same parent or root  
Then the page is moved to the selected position  
And the updated page order is displayed","chatcmpl-E4OJD2EsTbTWefL7s9DPkhHddbrI0","success",0.030015
"210","Brand Management","PB - As a User, I want to see a new landing page","Scenario: Viewing the New Landing Page  
Given the user accesses the application  
When the user navigates to the landing page  
Then the new landing page is displayed  
And the content of the new landing page is visible","chatcmpl-E4OJEd5Vg2L34ZDUqkO99dk7nmrk4","success",0.030015
"335","Marketing Operations Platform","PB - As a User, I want to create a Drag & Drop Page (as a standalone Page) from Nav","Scenario: Creating a Drag & Drop Page as a Standalone Page  
Given the user is on the Nav  
When the user creates a Drag & Drop Page as a standalone Page  
Then the Drag & Drop Page is created  
And the new standalone Page is displayed in the Nav","chatcmpl-E4OJG4qHsTyz47FoGBCxkgRk4Muqz","success",0.030015
"208","Brand Management","PB - As a User, I want to only select & see the combo of Widget and Block (bounding box experience) in Page Builder","Scenario: Selecting and Viewing a Widget and Block Combo in Page Builder  
Given the user is in the Page Builder  
When the user selects a combo of Widget and Block  
Then only the selected Widget and Block combo is highlighted  
And the bounding box experience is displayed for the selected combo","chatcmpl-E4OJHf4LnA4HkADmdt3Oh6aGfMPBn","success",0.030015
"254","Brand Management","As a User, I want to access Reply action for New Replies in Daily Digest Email","Scenario: Accessing Reply Action for New Replies in Daily Digest Email  
Given the user has received a Daily Digest Email with new replies  
When the user clicks on the Reply action for a new reply in the email  
Then the user is directed to the reply interface for that specific reply  
And the reply interface is ready for the user to respond.","chatcmpl-E4OJImElP8lnRLjOprPLJxVc7vAZL","success",0.030015
"238","Brand Management","As a user I want to see 'Bulk Review' in bulk review page header (page name)","Scenario: Displaying 'Bulk Review' in Bulk Review Page Header  
Given the user is on the bulk review page  
When the page loads  
Then the header displays 'Bulk Review'","chatcmpl-E4OJJeCouTm46EHgXCGAuhegB8E1E","success",0.030015
"13","Digital Asset Management","As a user, I want to be able to see the GIF or Lottie File converted MP4 on the Markup Screen in Approvals so that I can markup the animation to get feedback and new revisions worked on","Scenario: Viewing Converted MP4 on the Markup Screen in Approvals  
Given a GIF or Lottie File has been converted to MP4  
When the user opens the Markup Screen in Approvals  
Then the converted MP4 is displayed on the Markup Screen  
And the user can view the animation for markup and feedback purposes","chatcmpl-E4OJKGaoVwkQTAcBQqG5ZPQP3pNzS","success",0.030015
"353","Marketing Operations Platform","PB - As a User, I want to see a new landing page","Scenario: Viewing the New Landing Page  
Given the user accesses the application  
When the user navigates to the landing page  
Then the new landing page is displayed  
And the content of the new landing page is visible","chatcmpl-E4OJLpaA9pXu6Wyl5dkyXfIBK5nFC","success",0.030015
"136","Digital Asset Management","As a User, I want to open current location for single / same folder Move","Scenario: Opening Current Location for Moving a Folder  
Given a folder exists in the current location  
When the user initiates a move action for the folder  
Then the current location of the folder is opened  
And the folder is ready to be moved to a new location within the same folder structure","chatcmpl-E4OJN1ANN0QyMqlilycYqHQnaTOmD","success",0.030015
"109","Digital Asset Management","As an Internal User, I want to have MCP(development use only) settings to enable/disable features per Epic for Drag & Drop Page MVP ","Scenario: Enabling a Feature for Drag & Drop Page MVP via MCP Settings  
Given MCP settings are available for development use only  
When the internal user enables a feature for a specific Epic in the MCP settings  
Then the feature is enabled for the specified Epic  
And the updated setting is reflected in the MCP configuration","chatcmpl-E4OJOVVeSzNgLR1P3qYzhQMs6lz0J","success",0.030015
"141","Digital Asset Management","As a User, I want Surface Question/Answer/Rating back end data in weekly report / script","Scenario: Generating a Weekly Report with Question/Answer/Rating Data  
Given the back end contains Question/Answer/Rating data  
When the user generates the weekly report  
Then the report includes the Question/Answer/Rating data for the week  
And the report is successfully generated and available for review","chatcmpl-E4OJPBbAP1cSQQCQuTlxU1xLADNBs","success",0.030015
"106","Digital Asset Management","As a User, I want to switch Page Categories when viewing a Page if there are multiple Page Categories","Scenario: Switching Page Categories When Viewing a Page  
Given a page with multiple page categories exists  
When the user switches to a different page category  
Then the content of the selected page category is displayed","chatcmpl-E4OJQKd20fEB1KOpSC415xUf4C605","success",0.030015
"347","Marketing Operations Platform","PB - As a User, I want to add Widgets directly to a Section","Scenario: Adding a Widget to a Section  
Given a section exists  
When the user adds a widget to the section  
Then the widget is added to the section  
And the widget is displayed within the section","chatcmpl-E4OJSCRuZC3QS0AjJl7F12R2TMHKM","success",0.030015
"234","Brand Management","BP - As a User, I want to single select resources from Resource Lookup with unchangeable filter based on file type in Page Builder","Scenario: Single Selecting a Resource from Resource Lookup
Given the Resource Lookup is available with an unchangeable filter based on file type
When the user selects a single resource from the Resource Lookup
Then the selected resource is highlighted
And the selected resource is displayed in the Page Builder","chatcmpl-E4OJTJW7b0a0yIcRhYxZqX2jsBOjD","success",0.030015
"499","Marketing Compliance","As a user I want to run a stats report for database tool and see files from multi upload field represented each on their own row (excluding in Duplicable sections)","Scenario: Running a Stats Report with Files Represented on Separate Rows  
Given the user has access to the database tool and a stats report feature  
When the user runs a stats report  
Then files from the multi-upload field are displayed, each on their own row  
And files in duplicable sections are excluded from the report","chatcmpl-E4OJUeA7Rive1CDKI1yDYDOnbHowV","success",0.030015
"11","Digital Asset Management","As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Review Request screen in Approvals so that I can preview what the animation is when approving","Scenario: Previewing Converted MP4 on the Review Request Screen  
Given a GIF or Lottie File has been converted to MP4  
When the user opens the Review Request screen in Approvals  
Then the converted MP4 is displayed as a preview  
And the user can view the animation before approving","chatcmpl-E4OJVD9UwHDjx89mHdykeoih6VnE8","success",0.030015
"280","Marketing Operations Platform","As a user, I want to see the database name and record name in the header","Scenario: Display Database Name and Record Name in Header  
Given the user is viewing a record in the application  
When the record is displayed  
Then the database name is shown in the header  
And the record name is shown in the header","chatcmpl-E4OJW81Ozgk0SR9hoUYcgLlTU2v1y","success",0.030015
"298","Marketing Operations Platform","PB - (Misc) As a User, I want to be informed why the Page cannot be saved in Page Builder if it's beyond the set Page limit in MCP","Scenario: Informing the User Why the Page Cannot Be Saved Due to Page Limit
Given the user is attempting to save a Page in Page Builder
When the Page exceeds the set Page limit in MCP
Then the user is informed that the Page cannot be saved
And the reason provided is that the Page exceeds the set Page limit in MCP","chatcmpl-E4OJXq2e3FiAeEaXh8tyOOyVhSfnP","success",0.030015
"112","Digital Asset Management","As a User, I want to configure both Block and Video Widget properties","Scenario: Configuring Block and Video Widget Properties  
Given a Block and a Video Widget are available for configuration  
When the user configures the properties of the Block and the Video Widget  
Then the Block properties are updated as configured  
And the Video Widget properties are updated as configured","chatcmpl-E4OJYeygTawPsSaozAsF0GxoitYk2","success",0.030015
"19","Digital Asset Management","As a Database Manager, I want to allow end users to Add More child records ('Add More') - Handle maximum child records","Scenario: Adding More Child Records Up to the Maximum Limit  
Given the end user is on the interface to manage child records  
When the end user clicks on 'Add More' to add a child record  
Then a new child record is added successfully  
And the user is prevented from adding more child records if the maximum limit is reached","chatcmpl-E4OJZiIlY2q3PrErQcgTH7ys5tCXS","success",0.030015
